link,검토 담당자,계약 배경/목적,계약 분류,계약 시작일,계약 종료일,계약명,계약서,관리번호,상대 계약자,서면 실태 조사,요청 기업,요청자,지급 상세,진행 상태
https://harim.business.lawform.io/clm/10827,-,,"[업무·시스템]준법지원
(업무·시스템 > [업무·시스템]준법지원)",2025-12-01,2026-11-30,"로폼비지니스 계약관리 서비스 사용 계약서
별도 등록",,2025-10827-00003,아미쿠스렉스 주식회사,미사용,하림지주,이슬,,계약 이행 중
https://harim.business.lawform.io/clm/10679,-,,"[IT·시스템]유지보수
(IT·시스템 > [IT·시스템]유지보수)",2023-07-01,2026-06-30,"H-One업그레이드 및 유지보수 계약서
별도 등록",,C20190901-0001,(주)하림,미사용,하림지주,고성빈,,계약 이행 중
https://harim.business.lawform.io/clm/10533,-,,"[용역]고문·자문·컨설팅
(용역 > [용역]고문·자문·컨설팅)",2024-10-23,2025-10-22,"자문계약서
별도 등록",,C20241023-0001,법무법인 엘케이비앤파트너스,미사용,하림지주,윤승용,,계약 종료
https://harim.business.lawform.io/clm/10578,윤혜진,,"[IT·시스템]사용/라이선스
(IT·시스템 > [IT·시스템]사용/라이선스)",2024-05-01,2026-04-30,메가존소프트 서비스(GCP) 이용 계약서,,C20230607-0001,메가존소프트 주식회사,미사용,하림지주,고성빈,,계약 이행 중
https://harim.business.lawform.io/clm/10692,-,,"[업무·시스템]준법지원
(업무·시스템 > [업무·시스템]준법지원)",2024-04-03,2026-04-02,"Law.Ai 라이선스 계약서
별도 등록",,C20230329-0001,(주)휴맥스홀딩스,미사용,하림지주,윤승용,,계약 이행 중
https://harim.business.lawform.io/clm/10564,-,,"[IT·시스템]유지보수
(IT·시스템 > [IT·시스템]유지보수)",2024-07-01,2026-06-30,[변경] 더존 ERP-iU 시스템 유상 유지관리 계약,,C20230619-0002-3,(주)더존비즈온,미사용,하림지주,고성빈,,계약 이행 중
https://harim.business.lawform.io/clm/10565,-,,"[IT·시스템]유지보수
(IT·시스템 > [IT·시스템]유지보수)",2024-07-01,2026-06-30,더존 ERP-iU 시스템 유상 유지관리 계약,,C20230619-0002-2,(주)더존비즈온,미사용,하림지주,고성빈,,계약 이행 중
https://harim.business.lawform.io/clm/10548,-,,"[IT·시스템]유지보수
(IT·시스템 > [IT·시스템]유지보수)",2024-08-01,2026-07-31,[변경] 더존 EFIS 시스템 유상 유지관리 계약,,C20230719-0001-3,(주)더존비즈온,미사용,하림지주,고성빈,,계약 이행 중
https://harim.business.lawform.io/clm/10549,윤혜진,,"[IT·시스템]유지보수
(IT·시스템 > [IT·시스템]유지보수)",2024-08-01,2026-07-31,더존 EFIS 시스템 유상 유지관리 계약,,C20230719-0001-2,(주)더존비즈온,미사용,하림지주,고성빈,,계약 이행 중
https://harim.business.lawform.io/clm/10685,윤승용,,"[교육]위탁(교육)
(교육 > [교육]위탁(교육))",2023-05-15,2023-12-01,하림그룹 Digital School 위탁교육 계약서,,C20230508-0002,(주)아이지엠세계경영연구원,미사용,하림지주,고성빈,,계약 종료
https://harim.business.lawform.io/clm/10684,윤승용,,"[마케팅]후원
(마케팅 > [마케팅]후원)",2023-06-01,2023-12-31,새만금 제25회 세계스카우트잼버리 후원 계약서,,C20230515-0001,2023 새만금 세계스카우트잼버리조직위원회,미사용,하림지주,윤혜진,,계약 종료
https://harim.business.lawform.io/clm/10667,윤승용,,"[IT·시스템]사용/라이선스
(IT·시스템 > [IT·시스템]사용/라이선스)",2025-08-01,2026-07-31,소프트웨어(스팬딧) 유료사용 계약서,,C20200801-0001-2,(주)스팬딧,미사용,하림지주,고성빈,,계약 이행 중
https://harim.business.lawform.io/clm/10653,-,,"[용역]기타
(용역 > [용역]기타)",2023-10-10,2024-04-09,하림그룹 통합 PI,,C20230609-0001,삼성에스디에스주식회사,미사용,하림지주,고성빈,,계약 종료
https://harim.business.lawform.io/clm/10652,-,,"[IT·시스템]사용/라이선스
(IT·시스템 > [IT·시스템]사용/라이선스)",2023-10-10,2024-04-09,그룹사 통합 PI용 프로세스 자산화 솔루션(SFOLM 시스템) 도입 구매 계약서,,C20230915-0001,스마트팩토리,미사용,하림지주,고성빈,,계약 종료
https://harim.business.lawform.io/clm/10651,윤혜진,,"[IT·시스템]사용/라이선스
(IT·시스템 > [IT·시스템]사용/라이선스)",2023-10-09,2024-04-09,SAP Value Assurance Support 서비스 계약,,C20230915-0002,에스에이피코리아(주),미사용,하림지주,고성빈,,계약 종료
https://harim.business.lawform.io/clm/10584,윤혜진,,"[임차]사무실
(임차 > [임차]사무실)",2023-10-10,2024-04-09,위워크 멤버십 계약,,C20230915-0003,위워크서울3호 유한회사,미사용,하림지주,고성빈,,계약 종료
https://harim.business.lawform.io/clm/10583,윤혜진,,"[임차]사무실
(임차 > [임차]사무실)",2023-10-10,2024-04-09,[변경] 위워크 멤버십 계약,,C20230915-0003-2,위워크서울3호 유한회사,미사용,하림지주,고성빈,,계약 종료
https://harim.business.lawform.io/clm/10582,윤혜진,,"[업무·시스템]인사
(업무·시스템 > [업무·시스템]인사)",2024-04-15,2024-05-31,위워크 멤버십 계약,,C20230915-0003-3,위워크서울3호 유한회사,미사용,하림지주,고성빈,,계약 종료
